coin,symbol,candle_open_time_utc,candle_close_time_utc,open,high,low,close,volume,quote_volume,trade_count,source,source_interval,source_symbol,is_complete,ingested_at_utc,date
Dogecoin,DOGEUSDT,2025-10-31T00:00:00Z,2025-10-31T23:59:59Z,0.18268,0.18816,0.18228,0.18644,693564340.0,128531571.40372,880427,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-01T00:00:00Z,2025-11-01T23:59:59Z,0.18644,0.18837,0.18512,0.18736,381304623.0,71209659.96216,422093,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-02T00:00:00Z,2025-11-02T23:59:59Z,0.18736,0.18884,0.18172,0.18638,422142934.0,78224426.82371,544434,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-03T00:00:00Z,2025-11-03T23:59:59Z,0.18639,0.18666,0.16017,0.16741,2233966267.0,381967727.8722,2350318,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-04T00:00:00Z,2025-11-04T23:59:59Z,0.16741,0.1711,0.15159,0.16223,3239546286.0,523039971.28713,4022396,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-05T00:00:00Z,2025-11-05T23:59:59Z,0.16224,0.16886,0.15456,0.16719,1450649552.0,237866129.35671,1995705,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-06T00:00:00Z,2025-11-06T23:59:59Z,0.16718,0.1678,0.15693,0.16164,991019158.0,160882419.0731,1587215,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-07T00:00:00Z,2025-11-07T23:59:59Z,0.16164,0.18166,0.1596,0.17877,1612295661.0,274447812.14544,2514764,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-08T00:00:00Z,2025-11-08T23:59:59Z,0.17877,0.18332,0.173,0.17605,1232860279.0,220196788.27929,1809853,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-09T00:00:00Z,2025-11-09T23:59:59Z,0.17605,0.18158,0.17123,0.1793,824680933.0,145583477.48335,1263036,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
